Departments,description,message_clean,message,message_refined
accident and emergency (a&e),"Also called casualty, this deals with ambulance emergencies. If anyone has suffered from a trauma or accident or gets badly injured, this department is where they are taken to get evaluated. This is where a patient is stabilized first.",Also called casualty this deals with ambulance emergencies If anyone has suffered from a trauma or accident or gets badly injured this department is where they are taken to get evaluated This is where a patient is stabilized first,"['also', 'called', 'casualty', 'this', 'deals', 'with', 'ambulance', 'emergencies', 'if', 'anyone', 'has', 'suffered', 'from', 'a', 'trauma', 'or', 'accident', 'or', 'gets', 'badly', 'injured', 'this', 'department', 'is', 'where', 'they', 'are', 'taken', 'to', 'get', 'evaluated', 'this', 'is', 'where', 'a', 'patient', 'is', 'stabilized', 'first']","['also', 'called', 'casualty', 'deals', 'ambulance', 'emergencies', 'anyone', 'suffered', 'trauma', 'accident', 'gets', 'badly', 'injured', 'department', 'taken', 'get', 'evaluated', 'patient', 'stabilized', 'first']"
anaesthetics,"Responsible for anaesthetics after operation, pain relief after operation, chronic pain relief in conditions such as arthritis, critical pain management obstetric anesthesia and analgesia(epidural in childbirth and Cartesian section)",Responsible for anaesthetics after operation pain relief after operation chronic pain relief in conditions such as arthritis critical pain management obstetric anesthesia and analgesiaepidural in childbirth and Cartesian section,"['responsible', 'for', 'anaesthetics', 'after', 'operation', 'pain', 'relief', 'after', 'operation', 'chronic', 'pain', 'relief', 'in', 'conditions', 'such', 'as', 'arthritis', 'critical', 'pain', 'management', 'obstetric', 'anesthesia', 'and', 'analgesiaepidural', 'in', 'childbirth', 'and', 'cartesian', 'section']","['responsible', 'anaesthetics', 'operation', 'pain', 'relief', 'operation', 'chronic', 'pain', 'relief', 'conditions', 'arthritis', 'critical', 'pain', 'management', 'obstetric', 'anesthesia', 'analgesiaepidural', 'childbirth', 'cartesian', 'section']"
breast screening,"This unit screens women for breast cancer,breast abnormalities either through routine mammogram examinations or at the request of doctors. It's usually linked to an X-ray department.",This unit screens women for breast cancerbreast abnormalities either through routine mammogram examinations or at the request of doctors Its usually linked to an Xray department,"['this', 'unit', 'screens', 'women', 'for', 'breast', 'cancerbreast', 'abnormalities', 'either', 'through', 'routine', 'mammogram', 'examinations', 'or', 'at', 'the', 'request', 'of', 'doctors', 'its', 'usually', 'linked', 'to', 'an', 'xray', 'department']","['unit', 'screens', 'women', 'breast', 'cancerbreast', 'abnormalities', 'either', 'routine', 'mammogram', 'examinations', 'request', 'doctors', 'usually', 'linked', 'xray', 'department']"
cardiology,"Deals with heart, circulation or vascular issues. Procedures include electrocardiogram(ECG) , echocardiogram, scan of the carotid artery in neck to determine stroke risk, blood pressure tests, pacemaker insertion, cardiac catheterization(coronary angiography) to check block in arteries, problem with aorta.",Deals with heart circulation or vascular issues Procedures include electrocardiogramECG  echocardiogram scan of the carotid artery in neck to determine stroke risk blood pressure tests pacemaker insertion cardiac catheterizationcoronary angiography to check block in arteries problem with aorta,"['deals', 'with', 'heart', 'circulation', 'or', 'vascular', 'issues', 'procedures', 'include', 'electrocardiogramecg', 'echocardiogram', 'scan', 'of', 'the', 'carotid', 'artery', 'in', 'neck', 'to', 'determine', 'stroke', 'risk', 'blood', 'pressure', 'tests', 'pacemaker', 'insertion', 'cardiac', 'catheterizationcoronary', 'angiography', 'to', 'check', 'block', 'in', 'arteries', 'problem', 'with', 'aorta']","['deals', 'heart', 'circulation', 'vascular', 'issues', 'procedures', 'include', 'electrocardiogramecg', 'echocardiogram', 'scan', 'carotid', 'artery', 'neck', 'determine', 'stroke', 'risk', 'blood', 'pressure', 'tests', 'pacemaker', 'insertion', 'cardiac', 'catheterizationcoronary', 'angiography', 'check', 'block', 'arteries', 'problem', 'aorta']"
chaplaincy,"Chaplains promote the spiritual and pastoral wellbeing of patients, relatives and staff.They are available to all members of staff for confidential counsel and support irrespective of religion or race. A hospital chapel is also usually available.",Chaplains promote the spiritual and pastoral wellbeing of patients relatives and staffThey are available to all members of staff for confidential counsel and support irrespective of religion or race A hospital chapel is also usually available,"['chaplains', 'promote', 'the', 'spiritual', 'and', 'pastoral', 'wellbeing', 'of', 'patients', 'relatives', 'and', 'staffthey', 'are', 'available', 'to', 'all', 'members', 'of', 'staff', 'for', 'confidential', 'counsel', 'and', 'support', 'irrespective', 'of', 'religion', 'or', 'race', 'a', 'hospital', 'chapel', 'is', 'also', 'usually', 'available']","['chaplains', 'promote', 'spiritual', 'pastoral', 'wellbeing', 'patients', 'relatives', 'staffthey', 'available', 'members', 'staff', 'confidential', 'counsel', 'support', 'irrespective', 'religion', 'race', 'hospital', 'chapel', 'also', 'usually', 'available']"
ear nose and throat (ent),"Deals with general ear, nose and throat diseases neck lumps cancers of the head and neck area tear duct problems facial skin lesions balance and hearing disorders snoring and sleep apnea ENT allergy problems salivary gland diseases voice disorders.",Deals with general ear nose and throat diseases neck lumps cancers of the head and neck area tear duct problems facial skin lesions balance and hearing disorders snoring and sleep apnea ENT allergy problems salivary gland diseases voice disorders,"['deals', 'with', 'general', 'ear', 'nose', 'and', 'throat', 'diseases', 'neck', 'lumps', 'cancers', 'of', 'the', 'head', 'and', 'neck', 'area', 'tear', 'duct', 'problems', 'facial', 'skin', 'lesions', 'balance', 'and', 'hearing', 'disorders', 'snoring', 'and', 'sleep', 'apnea', 'ent', 'allergy', 'problems', 'salivary', 'gland', 'diseases', 'voice', 'disorders']","['deals', 'general', 'ear', 'nose', 'throat', 'diseases', 'neck', 'lumps', 'cancers', 'head', 'neck', 'area', 'tear', 'duct', 'problems', 'facial', 'skin', 'lesions', 'balance', 'hearing', 'disorders', 'snoring', 'sleep', 'apnea', 'ent', 'allergy', 'problems', 'salivary', 'gland', 'diseases', 'voice', 'disorders']"
elderly services department,"Specialising in geriatric medicine, this department looks after problems associated with the elderly. This includes:stroke medicine, gastroenterology, diabetes, locomotor (movement) problems,continence problems, syncope (fainting), bone disease.It also has close links with community services for the elderly.",Specialising in geriatric medicine this department looks after problems associated with the elderly This includesstroke medicine gastroenterology diabetes locomotor movement problemscontinence problems syncope fainting bone diseaseIt also has close links with community services for the elderly,"['specialising', 'in', 'geriatric', 'medicine', 'this', 'department', 'looks', 'after', 'problems', 'associated', 'with', 'the', 'elderly', 'this', 'includesstroke', 'medicine', 'gastroenterology', 'diabetes', 'locomotor', 'movement', 'problemscontinence', 'problems', 'syncope', 'fainting', 'bone', 'diseaseit', 'also', 'has', 'close', 'links', 'with', 'community', 'services', 'for', 'the', 'elderly']","['specialising', 'geriatric', 'medicine', 'department', 'looks', 'problems', 'associated', 'elderly', 'includesstroke', 'medicine', 'gastroenterology', 'diabetes', 'locomotor', 'movement', 'problemscontinence', 'problems', 'syncope', 'fainting', 'bone', 'diseaseit', 'also', 'close', 'links', 'community', 'services', 'elderly']"
gastroenterology,"The gastroenterology unit deals in digestive system including Mouth.Pharynx.Oesophagus.Stomach.Intestines. Small intestine. Duodenum. Jejunum. Ileum. Large intestine. Cecum. Colon.Rectum.Anus.Liver.Specialising in bowel-related medicine, upper and lower gastrointestinal diseases,pancreas, bile duct inflammatory bowel and swallowing problems.",The gastroenterology unit deals in digestive system including MouthPharynxOesophagusStomachIntestines Small intestine Duodenum Jejunum Ileum Large intestine Cecum ColonRectumAnusLiverSpecialising in bowelrelated medicine upper and lower gastrointestinal diseasespancreas bile duct inflammatory bowel and swallowing problems,"['the', 'gastroenterology', 'unit', 'deals', 'in', 'digestive', 'system', 'including', 'mouthpharynxoesophagusstomachintestines', 'small', 'intestine', 'duodenum', 'jejunum', 'ileum', 'large', 'intestine', 'cecum', 'colonrectumanusliverspecialising', 'in', 'bowelrelated', 'medicine', 'upper', 'and', 'lower', 'gastrointestinal', 'diseasespancreas', 'bile', 'duct', 'inflammatory', 'bowel', 'and', 'swallowing', 'problems']","['gastroenterology', 'unit', 'deals', 'digestive', 'system', 'including', 'mouthpharynxoesophagusstomachintestines', 'small', 'intestine', 'duodenum', 'jejunum', 'ileum', 'large', 'intestine', 'cecum', 'colonrectumanusliverspecialising', 'bowelrelated', 'medicine', 'upper', 'lower', 'gastrointestinal', 'diseasespancreas', 'bile', 'duct', 'inflammatory', 'bowel', 'swallowing', 'problems']"
general surgery,"The general surgery ward covers a wide range of surgery and includes:day surgery,thyroid surgery,kidney transplants,colon surgery,laparoscopic cholecystectomy (gallbladder removal),endoscopy,breast surgery.Day surgery units have minor surgical procedures such as hernia repairs.",The general surgery ward covers a wide range of surgery and includesday surgerythyroid surgerykidney transplantscolon surgerylaparoscopic cholecystectomy gallbladder removalendoscopybreast surgeryDay surgery units have minor surgical procedures such as hernia repairs,"['the', 'general', 'surgery', 'ward', 'covers', 'a', 'wide', 'range', 'of', 'surgery', 'and', 'includesday', 'surgerythyroid', 'surgerykidney', 'transplantscolon', 'surgerylaparoscopic', 'cholecystectomy', 'gallbladder', 'removalendoscopybreast', 'surgeryday', 'surgery', 'units', 'have', 'minor', 'surgical', 'procedures', 'such', 'as', 'hernia', 'repairs']","['general', 'surgery', 'ward', 'covers', 'wide', 'range', 'surgery', 'includesday', 'surgerythyroid', 'surgerykidney', 'transplantscolon', 'surgerylaparoscopic', 'cholecystectomy', 'gallbladder', 'removalendoscopybreast', 'surgeryday', 'surgery', 'units', 'minor', 'surgical', 'procedures', 'hernia', 'repairs']"
gynaecology,"These departments investigate and treat gynecological problems of the female urinary tract and reproductive organs(Vagina.Cervix.Uterus.Fallopian tube.Ovaries.) such as endometritis, infertility and incontinence, cervical smear screening and post-menopausal bleeding checks.",These departments investigate and treat gynecological problems of the female urinary tract and reproductive organsVaginaCervixUterusFallopian tubeOvaries such as endometritis infertility and incontinence cervical smear screening and postmenopausal bleeding checks,"['these', 'departments', 'investigate', 'and', 'treat', 'gynecological', 'problems', 'of', 'the', 'female', 'urinary', 'tract', 'and', 'reproductive', 'organsvaginacervixuterusfallopian', 'tubeovaries', 'such', 'as', 'endometritis', 'infertility', 'and', 'incontinence', 'cervical', 'smear', 'screening', 'and', 'postmenopausal', 'bleeding', 'checks']","['departments', 'investigate', 'treat', 'gynecological', 'problems', 'female', 'urinary', 'tract', 'reproductive', 'organsvaginacervixuterusfallopian', 'tubeovaries', 'endometritis', 'infertility', 'incontinence', 'cervical', 'smear', 'screening', 'postmenopausal', 'bleeding', 'checks']"
haematology,"Haematology deals in problems related to Red blood cells (erythrocytes), White blood cells (leukocytes)-( Lymphocytes.Monocytes.Eosinophils.Basophils.Neutrophils (granulocytes).) Platelets (thrombocytes),Plasma, haemoglobin. These doctors treat blood diseases,infectionsand malignancies linked to the blood.",Haematology deals in problems related to Red blood cells erythrocytes White blood cells leukocytes LymphocytesMonocytesEosinophilsBasophilsNeutrophils granulocytes Platelets thrombocytesPlasma haemoglobin These doctors treat blood diseasesinfectionsand malignancies linked to the blood,"['haematology', 'deals', 'in', 'problems', 'related', 'to', 'red', 'blood', 'cells', 'erythrocytes', 'white', 'blood', 'cells', 'leukocytes', 'lymphocytesmonocyteseosinophilsbasophilsneutrophils', 'granulocytes', 'platelets', 'thrombocytesplasma', 'haemoglobin', 'these', 'doctors', 'treat', 'blood', 'diseasesinfectionsand', 'malignancies', 'linked', 'to', 'the', 'blood']","['haematology', 'deals', 'problems', 'related', 'red', 'blood', 'cells', 'erythrocytes', 'white', 'blood', 'cells', 'leukocytes', 'lymphocytesmonocyteseosinophilsbasophilsneutrophils', 'granulocytes', 'platelets', 'thrombocytesplasma', 'haemoglobin', 'doctors', 'treat', 'blood', 'diseasesinfectionsand', 'malignancies', 'linked', 'blood']"
maternity departments,"Women now have a choice of who leads their maternity care in cases of pregnancy and childbirth. Maternity wards provide antenatal care, care during childbirth and postnatal support. Antenatal clinics provide monitoring for both routine and complicated pregnancies.",Women now have a choice of who leads their maternity care in cases of pregnancy and childbirth Maternity wards provide antenatal care care during childbirth and postnatal support Antenatal clinics provide monitoring for both routine and complicated pregnancies,"['women', 'now', 'have', 'a', 'choice', 'of', 'who', 'leads', 'their', 'maternity', 'care', 'in', 'cases', 'of', 'pregnancy', 'and', 'childbirth', 'maternity', 'wards', 'provide', 'antenatal', 'care', 'care', 'during', 'childbirth', 'and', 'postnatal', 'support', 'antenatal', 'clinics', 'provide', 'monitoring', 'for', 'both', 'routine', 'and', 'complicated', 'pregnancies']","['women', 'choice', 'leads', 'maternity', 'care', 'cases', 'pregnancy', 'childbirth', 'maternity', 'wards', 'provide', 'antenatal', 'care', 'care', 'childbirth', 'postnatal', 'support', 'antenatal', 'clinics', 'provide', 'monitoring', 'routine', 'complicated', 'pregnancies']"
microbiology,"The microbiology department looks at all aspects of microbiology, such as bacterial and viral infections. They have become increasingly high profile following the rise of hospital-acquired infections, such as MRSA and C. Difficile.",The microbiology department looks at all aspects of microbiology such as bacterial and viral infections They have become increasingly high profile following the rise of hospitalacquired infections such as MRSA and C Difficile,"['the', 'microbiology', 'department', 'looks', 'at', 'all', 'aspects', 'of', 'microbiology', 'such', 'as', 'bacterial', 'and', 'viral', 'infections', 'they', 'have', 'become', 'increasingly', 'high', 'profile', 'following', 'the', 'rise', 'of', 'hospitalacquired', 'infections', 'such', 'as', 'mrsa', 'and', 'c', 'difficile']","['microbiology', 'department', 'looks', 'aspects', 'microbiology', 'bacterial', 'viral', 'infections', 'become', 'increasingly', 'high', 'profile', 'following', 'rise', 'hospitalacquired', 'infections', 'mrsa', 'c', 'difficile']"
