Departments,description,message_clean,message,message_refined
neonatal unit,"Neonatal units provide for intensive, high-dependency and special care for newborn babies. It always maintains close links with the hospital maternity department, in the interest of newborn babies and their families.They have the philosophy that, whenever possible, mother and baby should be together.",Neonatal units provide for intensive highdependency and special care for newborn babies It always maintains close links with the hospital maternity department in the interest of newborn babies and their familiesThey have the philosophy that whenever possible mother and baby should be together,"['neonatal', 'units', 'provide', 'for', 'intensive', 'highdependency', 'and', 'special', 'care', 'for', 'newborn', 'babies', 'it', 'always', 'maintains', 'close', 'links', 'with', 'the', 'hospital', 'maternity', 'department', 'in', 'the', 'interest', 'of', 'newborn', 'babies', 'and', 'their', 'familiesthey', 'have', 'the', 'philosophy', 'that', 'whenever', 'possible', 'mother', 'and', 'baby', 'should', 'be', 'together']","['neonatal', 'units', 'provide', 'intensive', 'highdependency', 'special', 'care', 'newborn', 'babies', 'always', 'maintains', 'close', 'links', 'hospital', 'maternity', 'department', 'interest', 'newborn', 'babies', 'familiesthey', 'philosophy', 'whenever', 'possible', 'mother', 'baby', 'together']"
neurology,"This unit deals with disorders of the nervous system, including the brain,spinal cord,neuron,spanial canal, cranial cavity,meninges,dura mater,grey matter, white matter, ganglia,vertebrae .Specialist nurses (epilepsy, multiple sclerosis) liaise with patients, consultants and GPs to provide care.",This unit deals with disorders of the nervous system including the brainspinal cordneuronspanial canal cranial cavitymeningesdura matergrey matter white matter gangliavertebrae Specialist nurses epilepsy multiple sclerosis liaise with patients consultants and GPs to provide care,"['this', 'unit', 'deals', 'with', 'disorders', 'of', 'the', 'nervous', 'system', 'including', 'the', 'brainspinal', 'cordneuronspanial', 'canal', 'cranial', 'cavitymeningesdura', 'matergrey', 'matter', 'white', 'matter', 'gangliavertebrae', 'specialist', 'nurses', 'epilepsy', 'multiple', 'sclerosis', 'liaise', 'with', 'patients', 'consultants', 'and', 'gps', 'to', 'provide', 'care']","['unit', 'deals', 'disorders', 'nervous', 'system', 'including', 'brainspinal', 'cordneuronspanial', 'canal', 'cranial', 'cavitymeningesdura', 'matergrey', 'matter', 'white', 'matter', 'gangliavertebrae', 'specialist', 'nurses', 'epilepsy', 'multiple', 'sclerosis', 'liaise', 'patients', 'consultants', 'gps', 'provide', 'care']"
nutrition and dietetics,"The department works across a wide range of specialities such as:diabetes,food and eating disorder,cancer,kidney problems,paediatrics,elderly care,surgery and critical care,gastroenterology. They also provide group education to patients with diabetes, heart disease and osteoarthritis, and work closely with weight management groups.",The department works across a wide range of specialities such asdiabetesfood and eating disordercancerkidney problemspaediatricselderly caresurgery and critical caregastroenterology They also provide group education to patients with diabetes heart disease and osteoarthritis and work closely with weight management groups,"['the', 'department', 'works', 'across', 'a', 'wide', 'range', 'of', 'specialities', 'such', 'asdiabetesfood', 'and', 'eating', 'disordercancerkidney', 'problemspaediatricselderly', 'caresurgery', 'and', 'critical', 'caregastroenterology', 'they', 'also', 'provide', 'group', 'education', 'to', 'patients', 'with', 'diabetes', 'heart', 'disease', 'and', 'osteoarthritis', 'and', 'work', 'closely', 'with', 'weight', 'management', 'groups']","['department', 'works', 'across', 'wide', 'range', 'specialities', 'asdiabetesfood', 'eating', 'disordercancerkidney', 'problemspaediatricselderly', 'caresurgery', 'critical', 'caregastroenterology', 'also', 'provide', 'group', 'education', 'patients', 'diabetes', 'heart', 'disease', 'osteoarthritis', 'work', 'closely', 'weight', 'management', 'groups']"
obstetrics and gynaecology units,"These units provide maternity services such as:antenatal and postnatal care,prenatal diagnosis unit,maternal and foetal surveillance. Overseen by consultant obstetricians and gynaecologists, Care can include colposcopy, laser therapy or hysteroscopy for abnormal cervical cells,psychosexual counselling,recurrent miscarriage unit,early pregnancy unit.",These units provide maternity services such asantenatal and postnatal careprenatal diagnosis unitmaternal and foetal surveillance Overseen by consultant obstetricians and gynaecologists Care can include colposcopy laser therapy or hysteroscopy for abnormal cervical cellspsychosexual counsellingrecurrent miscarriage unitearly pregnancy unit,"['these', 'units', 'provide', 'maternity', 'services', 'such', 'asantenatal', 'and', 'postnatal', 'careprenatal', 'diagnosis', 'unitmaternal', 'and', 'foetal', 'surveillance', 'overseen', 'by', 'consultant', 'obstetricians', 'and', 'gynaecologists', 'care', 'can', 'include', 'colposcopy', 'laser', 'therapy', 'or', 'hysteroscopy', 'for', 'abnormal', 'cervical', 'cellspsychosexual', 'counsellingrecurrent', 'miscarriage', 'unitearly', 'pregnancy', 'unit']","['units', 'provide', 'maternity', 'services', 'asantenatal', 'postnatal', 'careprenatal', 'diagnosis', 'unitmaternal', 'foetal', 'surveillance', 'overseen', 'consultant', 'obstetricians', 'gynaecologists', 'care', 'include', 'colposcopy', 'laser', 'therapy', 'hysteroscopy', 'abnormal', 'cervical', 'cellspsychosexual', 'counsellingrecurrent', 'miscarriage', 'unitearly', 'pregnancy', 'unit']"
oncology,"This department provides radiotherapy and a full range of chemotherapy treatments for cancerous tumours and blood disorders.Staffed by specialist doctors and nurses trained in oncology (cancer care), it has close links with surgical and medical teams in other departments.",This department provides radiotherapy and a full range of chemotherapy treatments for cancerous tumours and blood disordersStaffed by specialist doctors and nurses trained in oncology cancer care it has close links with surgical and medical teams in other departments,"['this', 'department', 'provides', 'radiotherapy', 'and', 'a', 'full', 'range', 'of', 'chemotherapy', 'treatments', 'for', 'cancerous', 'tumours', 'and', 'blood', 'disordersstaffed', 'by', 'specialist', 'doctors', 'and', 'nurses', 'trained', 'in', 'oncology', 'cancer', 'care', 'it', 'has', 'close', 'links', 'with', 'surgical', 'and', 'medical', 'teams', 'in', 'other', 'departments']","['department', 'provides', 'radiotherapy', 'full', 'range', 'chemotherapy', 'treatments', 'cancerous', 'tumours', 'blood', 'disordersstaffed', 'specialist', 'doctors', 'nurses', 'trained', 'oncology', 'cancer', 'care', 'close', 'links', 'surgical', 'medical', 'teams', 'departments']"
ophthalmology,"Some common diseases they deal in include diseases to iris,cornea,pupil,optic nerve,choroid,sclera, fovea,ciliary body,vitreous humor,Refractive Errors,Glaucoma,Cataract,Age-Related Macular Degeneration,Amblyopia,Diabetic Retinopathy,Retinal Detachment or Tear.Dry Eye Syndrome,Squint.They also provide sight testing.",Some common diseases they deal in include diseases to iriscorneapupiloptic nervechoroidsclera foveaciliary bodyvitreous humorRefractive ErrorsGlaucomaCataractAgeRelated Macular DegenerationAmblyopiaDiabetic RetinopathyRetinal Detachment or TearDry Eye SyndromeSquintThey also provide sight testing,"['some', 'common', 'diseases', 'they', 'deal', 'in', 'include', 'diseases', 'to', 'iriscorneapupiloptic', 'nervechoroidsclera', 'foveaciliary', 'bodyvitreous', 'humorrefractive', 'errorsglaucomacataractagerelated', 'macular', 'degenerationamblyopiadiabetic', 'retinopathyretinal', 'detachment', 'or', 'teardry', 'eye', 'syndromesquintthey', 'also', 'provide', 'sight', 'testing']","['common', 'diseases', 'deal', 'include', 'diseases', 'iriscorneapupiloptic', 'nervechoroidsclera', 'foveaciliary', 'bodyvitreous', 'humorrefractive', 'errorsglaucomacataractagerelated', 'macular', 'degenerationamblyopiadiabetic', 'retinopathyretinal', 'detachment', 'teardry', 'eye', 'syndromesquintthey', 'also', 'provide', 'sight', 'testing']"
orthopaedics,"Orthopaedic departments treat your musculoskeletal  problems  ; That's your muscles, joints, bones, ligaments, tendons and nerves.They deal with everything from setting bone fractures and dislocations  to surgery to correct torn ligaments,hip replacements and soft tissue injuries.",Orthopaedic departments treat your musculoskeletal  problems   Thats your muscles joints bones ligaments tendons and nervesThey deal with everything from setting bone fractures and dislocations  to surgery to correct torn ligamentship replacements and soft tissue injuries,"['orthopaedic', 'departments', 'treat', 'your', 'musculoskeletal', 'problems', 'thats', 'your', 'muscles', 'joints', 'bones', 'ligaments', 'tendons', 'and', 'nervesthey', 'deal', 'with', 'everything', 'from', 'setting', 'bone', 'fractures', 'and', 'dislocations', 'to', 'surgery', 'to', 'correct', 'torn', 'ligamentship', 'replacements', 'and', 'soft', 'tissue', 'injuries']","['orthopaedic', 'departments', 'treat', 'musculoskeletal', 'problems', 'thats', 'muscles', 'joints', 'bones', 'ligaments', 'tendons', 'nervesthey', 'deal', 'everything', 'setting', 'bone', 'fractures', 'dislocations', 'surgery', 'correct', 'torn', 'ligamentship', 'replacements', 'soft', 'tissue', 'injuries']"
physiotherapy,"Physiotherapists promote body healing, for example after surgery, through therapies such as exercise,massage and manipulation. Their services are provided to patients on the wards, in the physiotherapy department itself and in rehabilitation units.Physiotherapists often work closely with orthopedic teams.",Physiotherapists promote body healing for example after surgery through therapies such as exercisemassage and manipulation Their services are provided to patients on the wards in the physiotherapy department itself and in rehabilitation unitsPhysiotherapists often work closely with orthopedic teams,"['physiotherapists', 'promote', 'body', 'healing', 'for', 'example', 'after', 'surgery', 'through', 'therapies', 'such', 'as', 'exercisemassage', 'and', 'manipulation', 'their', 'services', 'are', 'provided', 'to', 'patients', 'on', 'the', 'wards', 'in', 'the', 'physiotherapy', 'department', 'itself', 'and', 'in', 'rehabilitation', 'unitsphysiotherapists', 'often', 'work', 'closely', 'with', 'orthopedic', 'teams']","['physiotherapists', 'promote', 'body', 'healing', 'example', 'surgery', 'therapies', 'exercisemassage', 'manipulation', 'services', 'provided', 'patients', 'wards', 'physiotherapy', 'department', 'rehabilitation', 'unitsphysiotherapists', 'often', 'work', 'closely', 'orthopedic', 'teams']"
radiotherapy,"Run by a combination of consultant doctors and specially trained radiotherapists, this department provides radiotherapy (X-ray) treatment for conditions such as malignant tumors and cancer. They may provide palliative services related to cancer in consultation with oncology department.",Run by a combination of consultant doctors and specially trained radiotherapists this department provides radiotherapy Xray treatment for conditions such as malignant tumors and cancer They may provide palliative services related to cancer in consultation with oncology department,"['run', 'by', 'a', 'combination', 'of', 'consultant', 'doctors', 'and', 'specially', 'trained', 'radiotherapists', 'this', 'department', 'provides', 'radiotherapy', 'xray', 'treatment', 'for', 'conditions', 'such', 'as', 'malignant', 'tumors', 'and', 'cancer', 'they', 'may', 'provide', 'palliative', 'services', 'related', 'to', 'cancer', 'in', 'consultation', 'with', 'oncology', 'department']","['run', 'combination', 'consultant', 'doctors', 'specially', 'trained', 'radiotherapists', 'department', 'provides', 'radiotherapy', 'xray', 'treatment', 'conditions', 'malignant', 'tumors', 'cancer', 'may', 'provide', 'palliative', 'services', 'related', 'cancer', 'consultation', 'oncology', 'department']"
renal unit,"Closely linked with nephrology teams at hospitals, these units provide haemodialysis treatment for patients with kidney(renal) failure. Many of these patients are on waiting lists for a kidney transplant.They also provide facilities for peritoneal dialysis and help facilitate home haemodialysis.",Closely linked with nephrology teams at hospitals these units provide haemodialysis treatment for patients with kidneyrenal failure Many of these patients are on waiting lists for a kidney transplantThey also provide facilities for peritoneal dialysis and help facilitate home haemodialysis,"['closely', 'linked', 'with', 'nephrology', 'teams', 'at', 'hospitals', 'these', 'units', 'provide', 'haemodialysis', 'treatment', 'for', 'patients', 'with', 'kidneyrenal', 'failure', 'many', 'of', 'these', 'patients', 'are', 'on', 'waiting', 'lists', 'for', 'a', 'kidney', 'transplantthey', 'also', 'provide', 'facilities', 'for', 'peritoneal', 'dialysis', 'and', 'help', 'facilitate', 'home', 'haemodialysis']","['closely', 'linked', 'nephrology', 'teams', 'hospitals', 'units', 'provide', 'haemodialysis', 'treatment', 'patients', 'kidneyrenal', 'failure', 'many', 'patients', 'waiting', 'lists', 'kidney', 'transplantthey', 'also', 'provide', 'facilities', 'peritoneal', 'dialysis', 'help', 'facilitate', 'home', 'haemodialysis']"
rheumatology,"Specialist doctors called rheumatologists run the unit and are experts in the field of musculoskeletal disorders (bones, joints, ligaments, tendons, muscles and nerves).Their role is to diagnose conditions and recommend appropriate treatment, if necessary from the orthopaedic department.",Specialist doctors called rheumatologists run the unit and are experts in the field of musculoskeletal disorders bones joints ligaments tendons muscles and nervesTheir role is to diagnose conditions and recommend appropriate treatment if necessary from the orthopaedic department,"['specialist', 'doctors', 'called', 'rheumatologists', 'run', 'the', 'unit', 'and', 'are', 'experts', 'in', 'the', 'field', 'of', 'musculoskeletal', 'disorders', 'bones', 'joints', 'ligaments', 'tendons', 'muscles', 'and', 'nervestheir', 'role', 'is', 'to', 'diagnose', 'conditions', 'and', 'recommend', 'appropriate', 'treatment', 'if', 'necessary', 'from', 'the', 'orthopaedic', 'department']","['specialist', 'doctors', 'called', 'rheumatologists', 'run', 'unit', 'experts', 'field', 'musculoskeletal', 'disorders', 'bones', 'joints', 'ligaments', 'tendons', 'muscles', 'nervestheir', 'role', 'diagnose', 'conditions', 'recommend', 'appropriate', 'treatment', 'necessary', 'orthopaedic', 'department']"
sexual health (genitourinary medicine),"This department provides advice, testing and treatment for all sexually transmitted infections (STIs) including Human papillomavirus infection,Genital Herpes, Chlamydia, Gonorrhea, HIV(AIDS),Syphillis and pregnancy testing and advice.It also provides care for pregnancy testing, other sexual and genital problems.",This department provides advice testing and treatment for all sexually transmitted infections STIs including Human papillomavirus infectionGenital Herpes Chlamydia Gonorrhea HIVAIDSSyphillis and pregnancy testing and adviceIt also provides care for pregnancy testing other sexual and genital problems,"['this', 'department', 'provides', 'advice', 'testing', 'and', 'treatment', 'for', 'all', 'sexually', 'transmitted', 'infections', 'stis', 'including', 'human', 'papillomavirus', 'infectiongenital', 'herpes', 'chlamydia', 'gonorrhea', 'hivaidssyphillis', 'and', 'pregnancy', 'testing', 'and', 'adviceit', 'also', 'provides', 'care', 'for', 'pregnancy', 'testing', 'other', 'sexual', 'and', 'genital', 'problems']","['department', 'provides', 'advice', 'testing', 'treatment', 'sexually', 'transmitted', 'infections', 'stis', 'including', 'human', 'papillomavirus', 'infectiongenital', 'herpes', 'chlamydia', 'gonorrhea', 'hivaidssyphillis', 'pregnancy', 'testing', 'adviceit', 'also', 'provides', 'care', 'pregnancy', 'testing', 'sexual', 'genital', 'problems']"
urology,"The urology department deals in urinary tract, male reproductive system, prostate,diseases affecting the bladder, urethra, ureters, kidneys, and adrenal glands, along with the epididymis, penis, prostate, seminal vesicles and testes specifically in men",The urology department deals in urinary tract male reproductive system prostatediseases affecting the bladder urethra ureters kidneys and adrenal glands along with the epididymis penis prostate seminal vesicles and testes specifically in men,"['the', 'urology', 'department', 'deals', 'in', 'urinary', 'tract', 'male', 'reproductive', 'system', 'prostatediseases', 'affecting', 'the', 'bladder', 'urethra', 'ureters', 'kidneys', 'and', 'adrenal', 'glands', 'along', 'with', 'the', 'epididymis', 'penis', 'prostate', 'seminal', 'vesicles', 'and', 'testes', 'specifically', 'in', 'men']","['urology', 'department', 'deals', 'urinary', 'tract', 'male', 'reproductive', 'system', 'prostatediseases', 'affecting', 'bladder', 'urethra', 'ureters', 'kidneys', 'adrenal', 'glands', 'along', 'epididymis', 'penis', 'prostate', 'seminal', 'vesicles', 'testes', 'specifically', 'men']"
